gene,biotype
ybaN,protein_coding
apt,protein_coding
dnaX,protein_coding
ybaB,protein_coding
recR,protein_coding
htpG,protein_coding
adk,protein_coding
hemH,protein_coding
aes,protein_coding
gsk,protein_coding
ybaL,protein_coding
fsr,protein_coding
ushA,protein_coding
ybaK,protein_coding
chiX,ncRNA
ybaP,protein_coding
ybaQ,protein_coding
copA,protein_coding
glsA,protein_coding
ybaT,protein_coding
cueR,protein_coding
ybbJ,protein_coding
qmcA,protein_coding
fetA,protein_coding
fetB,protein_coding
cnoX,protein_coding
ybbO,protein_coding
tesA,protein_coding
ybbA,protein_coding
ybbP,protein_coding
rhsD,protein_coding
ybbC,protein_coding
ylbH,pseudogene
ybbD,pseudogene
ylbI,pseudogene
ylbG,protein_coding
selU,protein_coding
allS,protein_coding
allA,protein_coding
allR,protein_coding
gcl,protein_coding
hyi,protein_coding
glxR,protein_coding
ybbW,protein_coding
allB,protein_coding
ybbY,protein_coding
glxK,protein_coding
allE,protein_coding
allC,protein_coding
allD,protein_coding
fdrA,protein_coding
ylbE,protein_coding
ylbF,protein_coding
ybcF,protein_coding
purK,protein_coding
purE,protein_coding
lpxH,protein_coding
ppiB,protein_coding
cysS,protein_coding
ybcI,protein_coding
ybcJ,protein_coding
folD,protein_coding
sfmA,protein_coding
sfmC,protein_coding
sfmD,protein_coding
sfmH,protein_coding
sfmF,protein_coding
fimZ,protein_coding
argU,tRNA
intD,protein_coding
xisD,pseudogene
exoD,pseudogene
peaD,pseudogene
renD,pseudogene
insE3,protein_coding
insF3,protein_coding
emrE,protein_coding
ylcJ,protein_coding
ybcK,protein_coding
ybcL,protein_coding
ybcM,protein_coding
ylcH,protein_coding
ybcN,protein_coding
ninE,protein_coding
ybcO,protein_coding
rusA,protein_coding
ylcG,protein_coding
quuD,protein_coding
nmpC,pseudogene
insH2,protein_coding
essD,protein_coding
rrrD,protein_coding
rzpD,protein_coding
rzoD,protein_coding
borD,protein_coding
ybcV,protein_coding
ybcW,protein_coding
ylcI,protein_coding
nohD,protein_coding
aaaD,pseudogene
tfaD,protein_coding
ybcY,pseudogene
tfaX,protein_coding
appY,protein_coding
ompT,protein_coding
envY,protein_coding
ybcH,protein_coding
nfrA,protein_coding
nfrB,protein_coding
cusS,protein_coding
cusR,protein_coding
cusC,protein_coding
cusF,protein_coding
cusB,protein_coding
cusA,protein_coding
pheP,protein_coding
ybdG,protein_coding
nfsB,protein_coding
ybdF,protein_coding
ybdJ,protein_coding
ybdK,protein_coding
sokE,ncRNA
hokE,protein_coding
insL2,protein_coding
entD,protein_coding
fepA,protein_coding
fes,protein_coding
ybdZ,protein_coding
entF,protein_coding
fepE,protein_coding
fepC,protein_coding
fepG,protein_coding
fepD,protein_coding
entS,protein_coding
fepB,protein_coding
entC,protein_coding
entE,protein_coding
entB,protein_coding
entA,protein_coding
entH,protein_coding
cstA,protein_coding
ybdD,protein_coding
hcxA,protein_coding
ybdL,protein_coding
ybdM,protein_coding
ybdN,protein_coding
ybdO,protein_coding
dsbG,protein_coding
ahpC,protein_coding
ahpF,protein_coding
uspG,protein_coding
ybdR,protein_coding
yldA,protein_coding
rnk,protein_coding
rna,protein_coding
citT,protein_coding
citG,protein_coding
citX,protein_coding
citF,protein_coding
citE,protein_coding
citD,protein_coding
citC,protein_coding
dpiB,protein_coding
dpiA,protein_coding
dcuC,protein_coding
pagP,protein_coding
cspE,protein_coding
crcB,protein_coding
ybeM,pseudogene
tatE,protein_coding
lipA,protein_coding
ybeF,protein_coding
lipB,protein_coding
ybeD,protein_coding
dacA,protein_coding
rlpA,protein_coding
mrdB,protein_coding
mrdA,protein_coding
rlmH,protein_coding
rsfS,protein_coding
cobC,protein_coding
nadD,protein_coding
holA,protein_coding
lptE,protein_coding
leuS,protein_coding
ybeL,protein_coding
ybeQ,protein_coding
ybeR,protein_coding
djlB,protein_coding
ybeT,protein_coding
ybeU,protein_coding
djlC,protein_coding
hscC,protein_coding
rihA,protein_coding
gltL,protein_coding
gltK,protein_coding
gltJ,protein_coding
sroC,ncRNA
gltI,protein_coding
insH3,protein_coding
lnt,protein_coding
ybeX,protein_coding
ybeY,protein_coding
ybeZ,protein_coding
miaB,protein_coding
ubiF,protein_coding
glnX,tRNA
glnV,tRNA
metU,tRNA
glnW,tRNA
glnU,tRNA
leuW,tRNA
metT,tRNA
asnB,protein_coding
umpH,protein_coding
nagC,protein_coding
nagA,protein_coding
nagB,protein_coding
nagE,protein_coding
glnS,protein_coding
chiP,protein_coding
chiQ,protein_coding
fur,protein_coding
uof,protein_coding
fldA,protein_coding
ybfE,protein_coding
ybfF,protein_coding
seqA,protein_coding
pgm,protein_coding
ybfP,protein_coding
ybfG,pseudogene
ybfI,pseudogene
potE,protein_coding
speF,protein_coding
speFL,protein_coding
kdpE,protein_coding
kdpD,protein_coding
kdpC,protein_coding
kdpB,protein_coding
kdpA,protein_coding
kdpF,protein_coding
ybfA,protein_coding
rhsC,protein_coding
ybfB,protein_coding
ybfO,pseudogene
ybfC,protein_coding
ybfQ,protein_coding
ybfL,pseudogene
ybfD,protein_coding
ybgA,protein_coding
phr,protein_coding
dtpD,protein_coding
ybgI,protein_coding
pxpB,protein_coding
pxpC,protein_coding
pxpA,protein_coding
nei,protein_coding
abrB,protein_coding
ybgO,protein_coding
ybgP,protein_coding
ybgQ,protein_coding
ybgD,protein_coding
gltA,protein_coding
ybgV,protein_coding
ybgU,protein_coding
sdhC,protein_coding
sdhD,protein_coding
sdhA,protein_coding
sdhB,protein_coding
sucA,protein_coding
sucB,protein_coding
sucC,protein_coding
sucD,protein_coding
sdhX,ncRNA
mngR,protein_coding
mngA,protein_coding
mngB,protein_coding
cydA,protein_coding
cydB,protein_coding
cydX,protein_coding
ybgE,protein_coding
ybgC,protein_coding
tolQ,protein_coding
tolR,protein_coding
tolA,protein_coding
tolB,protein_coding
pal,protein_coding
cpoB,protein_coding
lysT,tRNA
valT,tRNA
lysW,tRNA
valZ,tRNA
lysY,tRNA
lysZ,tRNA
lysQ,tRNA
nadA,protein_coding
pnuC,protein_coding
zitB,protein_coding
ybgS,protein_coding
aroG,protein_coding
gpmA,protein_coding
galM,protein_coding
galK,protein_coding
galT,protein_coding
galE,protein_coding
modF,protein_coding
modE,protein_coding
acrZ,protein_coding
modA,protein_coding
modB,protein_coding
modC,protein_coding
ybhA,protein_coding
pgl,protein_coding
ybhD,protein_coding
ybhH,protein_coding
ybhI,protein_coding
ybhJ,protein_coding
ybhC,protein_coding
ybhB,protein_coding
bioA,protein_coding
bioB,protein_coding
bioF,protein_coding
bioC,protein_coding
bioD,protein_coding
uvrB,protein_coding
ybhK,protein_coding
moaA,protein_coding
moaB,protein_coding
moaC,protein_coding
moaD,protein_coding
moaE,protein_coding
ybhL,protein_coding
ybhM,protein_coding
ybhN,protein_coding
clsB,protein_coding
ybhP,protein_coding
ybhQ,protein_coding
ybhR,protein_coding
ybhS,protein_coding
ybhF,protein_coding
ybhG,protein_coding
cecR,protein_coding
rhlE,protein_coding
ybiA,protein_coding
dinG,protein_coding
ybiB,protein_coding
hcxB,protein_coding
ybiE,protein_coding
ybiJ,protein_coding
ybiI,protein_coding
ybiX,protein_coding
fiu,protein_coding
mcbA,protein_coding
rlmF,protein_coding
ybiO,protein_coding
glnQ,protein_coding
glnP,protein_coding
glnH,protein_coding
dps,protein_coding
rhtA,protein_coding
yliM,protein_coding
ompX,protein_coding
opgE,protein_coding
rybA,ncRNA
mntS,protein_coding
mntR,protein_coding
ybiR,protein_coding
ldtB,protein_coding
ybiT,protein_coding
ybiU,protein_coding
ybiV,protein_coding
ybiW,protein_coding
ybiY,protein_coding
fsaA,protein_coding
moeB,protein_coding
moeA,protein_coding
iaaA,protein_coding
gsiA,protein_coding
gsiB,protein_coding
gsiC,protein_coding
gsiD,protein_coding
pdeI,protein_coding
dgcI,protein_coding
rimO,protein_coding
bssR,protein_coding
yliI,protein_coding
gstB,protein_coding
dacC,protein_coding
deoR,protein_coding
ybjG,protein_coding
mdfA,protein_coding
ybjH,protein_coding
ybjI,protein_coding
ybjJ,protein_coding
rcdA,protein_coding
rybB,ncRNA
ybjL,protein_coding
ybjM,protein_coding
grxA,protein_coding
ybjC,protein_coding
nfsA,protein_coding
rimK,protein_coding
ybjN,protein_coding
potF,protein_coding
potG,protein_coding
potH,protein_coding
potI,protein_coding
ybjO,protein_coding
rlmC,protein_coding
artJ,protein_coding
artM,protein_coding
artQ,protein_coding
artI,protein_coding
artP,protein_coding
ybjP,protein_coding
ybjQ,protein_coding
amiD,protein_coding
ybjS,protein_coding
ybjT,protein_coding
ltaE,protein_coding
poxB,protein_coding
hcr,protein_coding
hcp,protein_coding
lysO,protein_coding
aqpZ,protein_coding
ybjD,protein_coding
ybjX,protein_coding
macA,protein_coding
macB,protein_coding
cspD,protein_coding
yljB,protein_coding
clpS,protein_coding
clpA,protein_coding
serW,tRNA
infA,protein_coding
aat,protein_coding
cydC,protein_coding
cydD,protein_coding
trxB,protein_coding
lrp,protein_coding
ftsK,protein_coding
lolA,protein_coding
rarA,protein_coding
serS,protein_coding
dmsA,protein_coding
dmsB,protein_coding
dmsC,protein_coding
