,0
yeaX,ECK1801
rnd,ECK1802
fadD,"ECK1803,oldD"
yeaY,ECK1804
tsaB,"ECK1805,yeaZ"
yoaA,ECK1806
yoaB,ECK1807
yoaC,ECK1808
yoaH,ECK1809
pabB,ECK1810
nudL,"ECK1811,yeaB"
sdaA,ECK1812
pdeD,"ECK1813,yoaD"
yoaE,"borG,ECK1814"
yoaL,ECK4608
manX,"ECK1815,gptB,mpt,ptsL,ptsM,ptsX"
manY,"ECK1816,pel,ptsM,ptsP,ptsX"
manZ,"ECK1817,gptB,mpt,ptsM,ptsX"
yobD,ECK1818
mntP,"ECK1819,yebN"
rlmA,"ECK1820,rrmA,yebH"
cspC,"ECK1821,msmB"
yobF,ECK1822
yebO,ECK1823
mgrB,"ECK1824,yobG"
yobH,ECK1825
kdgR,"ECK1826,yebP"
yebQ,ECK1827
htpX,ECK1828
prc,"ECK1829,tsp"
proQ,"ECK1830,yebJ,yobE,yoeC"
msrC,"ECK1831,yebR"
letA,"ECK1832,yebS"
letB,"ECK1833,yebT"
rsmF,"ECK1834,yebU"
yebV,ECK1835
yebW,ECK1836
pphA,"ECK1837,prpA,yebX"
ryeA,"ECK1838,IS091,psrA8,sraC,tkpe79"
sdsR,"ECK1839,ryeB,tkpe79"
yebY,ECK1840
yebZ,ECK1841
yobA,ECK1842
holE,ECK1843
yobB,ECK1844
exoX,"ECK1845,yobC"
ptrB,"ECK1846,tlp"
yebE,ECK1847
yebF,ECK1848
yebG,ECK1849
purT,ECK1850
eda,"ECK1851,hga,kdgA,kga"
edd,ECK1852
zwf,ECK1853
yebK,"ECK1854,hexR(P.a.)"
pykA,ECK1855
lpxM,"ECK1856,mlt,msbB,waaN"
mepM,"ECK1857,yebA"
znuA,"ECK1858,yebL,yzzP"
znuC,"ECK1859,yebM"
znuB,"ECK1860,yebI"
ruvB,ECK1861
ruvA,ECK1862
yobI,ECK4492
yebB,ECK1863
ruvC,ECK1864
yebC,ECK1865
nudB,"ECK1866,ntpA,yebD"
aspS,"ECK1867,tls"
yecD,ECK1868
yecE,ECK1869
yecN,ECK1870
cmoA,"ECK1871,yecO"
cmoB,"ECK1872,yecP"
torZ,"bisZ,ECK1873"
torY,"ECK1874,yecK"
micL,"ECK4574,ryeF,slrA"
cutC,ECK1875
yecM,"ECK1876,yecL"
argS,"ECK1877,lov,lov-1"
yecV,ECK4635
yecT,ECK1878
flhE,ECK1879
flhA,"ECK1880,flaH"
flhB,"ECK1881,flaG,yecQ"
cheZ,ECK1882
cheY,ECK1883
cheB,ECK1884
cheR,"cheX,ECK1885"
tap,ECK1886
tar,"cheM,ECK1887"
cheW,ECK1888
cheA,ECK1889
motB,"ECK1890,flaJ"
motA,"ECK1891,flaJ"
flhC,"ECK1892,flaI"
flhD,"ECK1893,flbB"
insB5,ECK0022
insA5,ECK0023
uspC,"ECK1894,yecG"
otsA,ECK1895
otsB,"ECK1896,otsP"
araH,"b1898,b1899,ECK1897"
araG,ECK1898
araF,ECK1899
ftnB,"ECK1900,yecI"
yecJ,ECK1901
azuC,ECK4478
yecR,ECK1903
ftnA,"ECK1904,ftn,gen-165,rsgA"
yecH,ECK1905
tyrP,ECK1906
yecA,ECK1907
3'ETS-leuZ,ECK4616
leuZ,ECK1908
cysT,ECK1909
glyW,"ECK1910,ins,mutC,suA58,suA78"
pgsA,ECK1911
uvrC,ECK1912
uvrY,"ECK1913,yecB"
yecU,ECK4609
yecF,ECK1914
sdiA,ECK1915
sdsN,ECK4576
tcyN,"ECK1916,yecC"
tcyL,"ECK1917,yecS"
dcyD,"ECK1918,yedO"
tcyJ,"ECK1919,fliY,ssi7,yzzR"
fliZ,"ECK1920,yedH"
fliA,"ECK1921,flaD,rpoF"
fliC,"ECK1922,flaF,H,hag"
fliD,"ECK1923,flbC,rfs"
fliS,ECK1924
fliT,ECK1925
amyA,"ECK1926,yedC"
yedD,ECK1927
yedE,ECK1928
yedF,ECK1929
yedK,"ECK1930,yedG"
yedL,ECK1931
yedN,"b1933,b1934,b1935,ECK1932,ECK1933,yedM"
intG,ECK1934
fliE,"ECK1935,fla,flaAI,flaN"
fliF,"ECK1936,flaAII.1,flaBI"
fliG,"ECK1937,flaAII.2,flaBII"
fliH,"ECK1938,flaAII.3,flaBIII"
fliI,"ECK1939,fla,flaAIII,flaC"
fliJ,"ECK1940,flaO"
fliK,"ECK1941,flaE"
fliL,"cheC1,ECK1942,flaAI,flaQI"
fliM,"cheC2,ECK1943,fla,flaA,flaAII,flaQ,flaQII"
fliN,"ECK1944,motD"
fliO,"ECK1945,flbD"
fliP,"ECK1946,flaR"
fliQ,"ECK1947,flaQ"
fliR,"ECK1948,flaP"
rcsA,"cpsR,ECK1949"
dsrB,ECK1950
yodD,ECK1951
dsrA,ECK1952
yedP,ECK1953
dgcQ,"ECK1954,yedQ"
yodC,ECK1955
yedI,ECK1956
yedA,ECK1957
vsr,ECK1958
dcm,"ECK1959,mec"
yedJ,ECK1960
yedR,ECK1961
rseX,"ECK4412,IS096"
yedS,"b1964,b1965,b1966,ECK1962,yedT"
hchA,"ECK1963,yedU,yzzC"
hprS,"ECK1964,yedV"
hprR,"ECK1965,yedW"
hiuH,"ECK1966,yedX"
msrP,"ECK1967,yedY"
msrQ,"ECK1968,yedZ"
zinT,"ECK1969,yodA"
yodB,ECK1970
serU,"ECK1971,ftsM,Su-1,su1,supD,supH"
mtfA,"ECK1972,yeeI"
asnT,ECK1973
yeeJ,ECK1974
yeeL,"b1979,b1980,ECK1975,yeeK"
shiA,"ECK1976,yeeM"
amn,ECK1977
yeeN,ECK1978
asnW,ECK1979
yeeO,ECK1980
asnU,ECK1981
cbl,ECK1982
nac,ECK1983
asnV,ECK1984
ldtA,"ECK1985,erfK,yeeG,yzzT"
cobT,ECK1986
cobS,ECK1987
cobU,ECK1988
yeeH,ECK4437
insH6,"ECK0261,trs5-6,yi52_6"
yoeG,ECK4451
yoeH,ECK4452
yoeA,"b1995,b1998,ECK1989,ECK1990,yoeE"
insD3,"ECK0358,yi22-3"
insC3,"ECK0357,yi21-3"
yeeP,ECK1991
isrC,"ECK1992,IS102"
flu,"agn,agn43,ECK1993,yeeQ,yzzX"
yeeR,ECK1994
yeeS,ECK1995
yeeT,ECK1996
cbeA,"ECK1997,yeeU"
cbtA,"ECK1998,yeeV"
yeeW,ECK1999
yoeD,ECK4443
yoeF,ECK2000
yeeX,ECK2001
yeeA,ECK2002
sbmC,"dgi,ECK2003,gyrI,yeeB"
dacD,"ECK2004,phsE,yeeC"
sbcB,"cpeA,ECK2005,exoI,rmuA,xonA"
yeeD,ECK2006
yeeE,ECK2007
plaP,"ECK2008,yeeF"
yoeI,ECK4493
yeeY,ECK2009
yeeZ,ECK2010
yoeB,ECK2011
yefM,ECK2012
hisL,ECK2013
hisG,ECK2014
hisD,ECK2015
hisC,ECK2016
hisB,ECK2017
hisH,ECK2018
hisA,ECK2019
hisF,ECK2020
hisI,"ECK2021,hisE,hisIE"
wzzB,"cld,ECK2022,rol,wzz"
ugd,"ECK2023,pmrE,udg,UDG8,yefA"
gnd,ECK2024
wbbL,"b2031,b4540,ECK2025,yefJ"
insH7,"ECK0261,trs5-7,yi52_7"
wbbK,"ECK2026,yefI"
wbbJ,"ECK2027,yefH"
wbbI,"ECK2028,yefG"
wbbH,"ECK2029,rfc,yefF"
glf,"ECK2030,yefE"
rfbX,"ECK2031,wzx,wzxB"
rfbC,"ECK2032,rfbD,rmlC"
rfbA,"ECK2033,rmlA,som"
rfbD,"ECK2034,rmlD"
rfbB,"ECK2035,rmlB,som"
galF,"ECK2036,wcaN,yefG"
wcaM,"ECK2037,yefK"
wcaL,"ECK2038,yefL"
wcaK,ECK2039
wzxC,"ECK2040,wzx"
wcaJ,ECK2041
cpsG,"ECK2042,manB,rfbK"
cpsB,"ECK2043,manC,mni,rfbM"
wcaI,"ECK2044,yefD"
gmm,"ECK2045,nudD,wcaH,yefC"
fcl,"ECK2046,wcaG,yefB"
gmd,"ECK2047,yefA,yefN"
wcaF,ECK2048
wcaE,ECK2049
wcaD,ECK2050
wcaC,ECK2051
wcaB,ECK2052
wcaA,ECK2053
wzc,ECK2054
wzb,ECK2055
wza,ECK2056
yegH,ECK2057
asmA,"ECK2058,yegA"
dcd,"dus,ECK2059,paxA"
udk,ECK2060
dgcE,"ECK2061,yegE"
alkA,"aidA,ECK2062"
yegD,ECK2063
yegI,ECK2064
yegJ,ECK2065
pphC,"ECK2066,yegK"
yegL,ECK2067
sibA,"ECK2068,QUAD1a,ryeC,tp11"
ibsA,ECK4482
sibB,"ECK2069,QUAD1b,ryeD,tpe60"
ibsB,ECK4483
mdtA,"ECK2070,yegM"
mdtB,"ECK2071,yegN"
mdtC,"ECK2072,yegO"
mdtD,"ECK2073,iceT,yegB"
baeS,ECK2074
baeR,ECK2075
yegP,ECK2076
trhP,"ECK2077,yegQ"
cyaR,"ECK2078,ryeE"
ogrK,ECK2079
yegZ,ECK2080
yegR,ECK2081
yegS,ECK2082
gatR,"b2087,b2090,ECK2083"
insE5,ECK0298
insF5,"ECK0299,tra5-4"
gatD,ECK2084
gatC,ECK2085
gatB,ECK2086
gatA,ECK2087
gatZ,ECK2088
gatY,"ECK2089,yegF"
fbaB,"dhnA,ECK2090"
yegT,ECK2091
yegU,ECK2092
yegV,ECK2093
yegW,ECK2094
yegX,ECK2095
thiD,"ECK2096,thiA,thiJ,thiN"
thiM,ECK2097
rcnR,"ECK2098,yohL"
rcnA,"ECK2099,yohM"
rcnB,"ECK2100,yohN"
yehA,ECK2101
yehB,ECK2102
yehC,ECK2103
yehD,ECK2104
yehE,ECK2105
mrp,ECK2106
metG,ECK2107
yehF,"dinO,ECK2108,molR_1,sosF"
yehH,"b2116,b2117,ECK2108,molR,yehG"
yehI,ECK2109
yehK,ECK2110
yehL,ECK2111
yehM,"ECK2112,yehN,yehO"
yehP,ECK2113
yehQ,ECK2114
yehR,ECK2115
yehS,ECK2116
btsR,"ECK2117,yehT"
btsS,"ECK2118,yehU"
mlrA,"ECK2119,yehV"
yohO,ECK2120
yehW,ECK2121
yehX,ECK2122
yehY,ECK2123
osmF,"ECK2124,yehZ"
bglX,"ECK2125,glh,yohA"
dld,"ECK2126,ldh"
pbpG,"ECK2127,yohB"
yohC,ECK2128
yohD,ECK2129
yohF,"ECK2130,yohE"
mdtQ,"b2138,ECK2131,ECK2132,yohG,yohH"
yohP,ECK4494
dusC,"ECK2133,yohI"
yohJ,ECK2134
yohK,ECK2135
cdd,ECK2136
sanA,"ECK2137,sfiXSt,yeiF"
yeiS,ECK2138
preT,"ECK2139,yeiT"
preA,"ECK2140,yeiA"
mglC,"ECK2141,mglP"
mglA,"ECK2142,mgl,mglP"
mglB,ECK2143
galS,"ECK2144,mglD"
yeiB,ECK2145
folE,ECK2146
yeiG,ECK2147
cirA,"cir,ECK2148,feuA"
lysP,"cadR,ECK2149"
yeiE,ECK2150
yeiH,ECK2151
nfo,ECK2152
yeiI,ECK2153
nupX,"ECK2154,yeiJ"
rihB,"ECK2155,yeiK"
yeiL,ECK2156
psuT,"ECK2157,pscT,yeiM"
psuG,"ECK2158,pscG,yeiN"
psuK,"ECK2159,pscK,yeiC"
fruA,"ECK2160,ptsF"
fruK,"ECK2161,fpk"
fruB,"ECK2162,fpr,fruF"
setB,"ECK2163,yeiO"
yeiW,ECK2164
yeiP,ECK2165
yeiQ,ECK2166
yeiR,ECK2167
lpxT,"ECK2168,yeiU"
mepS,"ECK2169,spr,yeiV"
pdeN,"ECK2170,rtn"
yejA,ECK2171
yejB,ECK2172
yejE,ECK2173
yejF,ECK2174
yejG,ECK2175
bcr,"bicA,bicR,ECK2176,sur,suxA"
rsuA,"ECK2177,yejD"
radD,"ECK2178,yejH,yejI,yejJ"
rplY,ECK2179
yejK,"ECK2180,ndpA"
yejL,ECK2181
yejM,"ECK2182,pbgA,yejN"
proL,"ECK2183,proW"
yejO,ECK2184
insH8,"ECK0261,trs5-8,yi52_8"
narP,ECK2185
ccmH,"ECK2186,yejP"
ccmG,"dsbE,ECK2187,yejQ"
ccmF,"ECK2188,yejR"
ccmE,"ECK2189,yejS"
ccmD,"ECK2190,yojM"
ccmC,"ECK2191,yejT,yejU"
ccmB,"ECK2192,yejV"
ccmA,"ECK2193,yejW"
napC,"ECK2194,yejX"
napB,"ECK2195,yejY"
napH,"ECK2196,yejZ"
napG,"ECK2197,yojA,yojB"
napA,"ECK2198,yojC,yojD,yojE"
napD,"ECK2199,yojF"
napF,"ECK2200,yojG"
yojO,ECK4413
eco,"ECK2201,eti"
mqo,"ECK2202,yojH"
yojI,"ECK2203,yojJ"
alkB,"aidD,ECK2204"
ada,ECK2205
ftp,"apbE,ECK2206,yojK,yojL"
ompC,"ECK2207,meoA,par"
micF,"ECK2208,stc"
rcsD,"ECK2209,yojN,yojP,yojQ"
rcsB,ECK2210
rcsC,ECK2211
atoS,ECK2212
atoC,ECK2213
atoD,ECK2214
atoA,ECK2215
atoE,ECK2216
atoB,ECK2217
yfaP,ECK2218
yfaQ,ECK2219
yfaS,"b2227,b2228,ECK2220,yfaR"
yfaT,ECK2221
yfaA,"ECK2222,pufY"
gyrA,"ECK2223,hisW,nalA,nfxA,norA,parD"
ubiG,"ECK2224,pufX,yfaB"
yfaL,"ECK2225,yfaF,yfaJ,yfaK"
ypaB,ECK4414
nrdA,"dnaF,ECK2226"
yoaM,ECK4636
nrdB,"ECK2227,ftsB"
yfaE,ECK2228
inaA,"ECK2229,yfaG"
yfaH,ECK2230
glpQ,ECK2231
glpT,ECK2232
glpA,ECK2233
glpB,"ECK2234,psi-51"
glpC,ECK2235
rpnE,"ECK2236,yfaD"
ypaA,ECK2237
yfaU,ECK2238
yfaV,ECK2239
rhmD,"ECK2240,yfaW"
yfaX,ECK2241
yfaY,ECK2242
yfaZ,ECK2243
nudI,"ECK2244,yfaO"
ais,"ECK2245,pagH,pmrG"
arnB,"ECK2246,pmrH,yfbE"
arnC,"ECK2247,pmrF,yfbF"
arnA,"ECK2248,pmrI,SAF,yfbG"
arnD,"ECK2249,pmrJ,yfbH"
arnT,"ECK2250,pmrK,yfbI"
arnE,"ECK2251,yfbW"
arnF,"ECK2252,yfbJ"
pmrD,ECK2253
menE,ECK2254
menC,ECK2255
menB,ECK2256
menH,"ECK2257,yfbB"
menD,ECK2258
menF,"ECK2259,yfbA"
elaB,"ECK2260,yfbD"
elaA,"ECK2261,yfbC"
rbn,"ECK2262,ecoZ,elaC,rnz,zipD"
elaD,ECK2263
yfbK,ECK2264
yfbL,ECK2265
yfbM,ECK2266
yfbN,ECK2267
yfbO,ECK2268
yfbP,ECK2269
nuoN,ECK2270
nuoM,"ECK2271,nuoA"
nuoL,ECK2272
nuoK,ECK2273
nuoJ,ECK2274
nuoI,ECK2275
nuoH,ECK2276
nuoG,ECK2277
nuoF,ECK2278
nuoE,ECK2279
nuoC,"ECK2280,nuoD"
nuoB,ECK2281
nuoA,ECK2282
lrhA,"ECK2283,genR"
alaA,"ECK2284,yfbQ"
yfbR,ECK2285
yfbS,ECK2286
hxpA,"ECK2287,yfbT"
yfbU,ECK2288
yfbV,ECK2289
ackA,ECK2290
pta,ECK2291
yfcC,ECK2292
yfcD,ECK2293
yfcE,ECK2294
yfcF,ECK2295
yfcG,ECK2296
folX,ECK2297
yfcH,ECK2298
rpnB,"ECK2299,yfcI"
hisP,ECK2300
hisM,ECK2301
hisQ,ECK2302
hisJ,ECK2303
argT,ECK2304
ubiX,"dedF,ECK2305"
purF,"ade,ade(ub),ECK2306,purC"
cvpA,"dedE,ECK2307"
dedD,ECK2308
folC,"dedC,ECK2309"
accD,"dedB,ECK2310,usg"
dedA,ECK2311
truA,"asuC,ECK2312,hisT,leuK"
usg,"ECK2313,usg-1"
pdxB,"ECK2314,usg-2"
flk,"div,ECK2315"
yfcJ,ECK2316
fabB,"ECK2317,fabC"
mnmC,"ECK2318,trmC,yfcK"
yfcL,ECK2319
epmC,"ECK2320,yfcM"
yfcA,ECK2321
mepA,ECK2322
aroC,ECK2323
prmB,"ECK2324,yfcB"
smrB,"ECK2325,yfcN"
yfcO,ECK2326
yfcP,ECK2327
yfcQ,ECK2328
yfcR,ECK2329
yfcS,ECK2330
yfcU,"b2337,b2338,ECK2331,ECK2332,yfcT"
yfcV,ECK2333
sixA,"ECK2334,yfcW"
fadJ,"ECK2335,yfcX"
fadI,"ECK2336,yfcY"
yfcZ,ECK2337
fadL,"ECK2338,ttr"
yfdF,ECK2339
mlaA,"ECK2340,vacJ"
yfdC,ECK2341
argW,ECK2342
intS,"ECK2343,intC,yfdB"
yfdG,"ECK2344,gtrA"
yfdH,"ECK2345,gtrB"
yfdI,"ECK2346,gtrIV,gtrS"
yodE,ECK4637
tfaS,"ECK2347,yfdJ"
yfdK,ECK2348
yfdL,ECK2349
yfdM,"ECK2350,yzyB"
yfdN,"ECK2351,yzyA"
yfdO,"ECK2352,oweS"
yfdP,ECK2353
yfdQ,ECK2354
yfdR,ECK2355
yfdS,ECK2356
yfdT,ECK2357
ypdJ,ECK2358
torI,ECK2359
pawZ,ECK4464
dsdC,ECK2360
dsdX,"dsdC,ECK2361,yfdA,yfdD"
dsdA,ECK2362
emrY,ECK2363
emrK,ECK2364
evgL,ECK4638
evgA,ECK2365
evgS,ECK2366
yfdE,ECK2367
yfdV,ECK2368
oxc,"ECK2369,yfdU"
frc,"ECK2370,yfdW"
yfdX,ECK2371
ypdI,ECK2372
yfdY,ECK2373
lpxP,"ddg,ECK2374"
ypdK,ECK4495
alaC,"ECK2375,yfdZ"
pyrS,"ECK2376,ypdA"
pyrR,"ECK2377,ypdB"
ypdC,ECK2378
fryA,"ECK2379,ypdD"
ypdE,ECK2380
ypdF,ECK2381
fryC,"ECK2382,ypdG"
fryB,"ECK2383,ypdH"
glk,ECK2384
yfeO,ECK2385
ypeC,ECK2386
mntH,"ECK2387,mntA,yfeP"
nupC,"cru,ECK2388"
insL3,"ECK0016,yi81-3"
pdeA,"ECK2389,yfeA"
alaX,"alaWbeta,ECK2390"
alaW,"alaWalpha,ECK2391"
yfeC,ECK2392
yfeD,ECK2393
gltX,"ECK2394,gltM,gluRS"
valU,"ECK2395,valUalpha"
valX,"ECK2396,valU-beta,valUbeta"
valY,"ECK2397,valUgamma"
lysV,"ECK2398,supN"
xapR,"ECK2399,pndR,pRndR,yfeB"
xapB,ECK2400
xapA,"ECK2401,pndA"
yfeN,ECK2402
yfeR,ECK2403
yfeH,ECK2404
ypeB,ECK2405
ligA,"dnaL,ECK2406,lig,lop,pdeC"
zipA,ECK2407
cysZ,ECK2408
cysK,"ECK2409,ssi5"
ptsH,"ctr,ECK2410,hpr"
ptsI,"ctr,ECK2411"
crr,"ECK2412,gsr,iex,tgs,treD"
pdxK,"ECK2413,pdxL,thiJ,yfeI"
yfeK,ECK2414
yfeS,ECK2415
cysM,ECK2416
cysA,ECK2417
cysW,ECK2418
cysU,"cysT,ECK2419"
cysP,ECK2420
ucpA,"ECK2421,yfeF"
murR,"ECK2422,yfeT"
murQ,"ECK2423,yfeU"
murP,"ECK2424,yfeV"
yfeW,ECK2425
yfeX,ECK2426
yfeY,ECK2427
yfeZ,ECK2428
ypeA,ECK2429
amiA,"ECK2430,yfeE"
hemF,"ECK2431,popB,sec"
eutR,"ECK2432,yfeG"
eutK,"ECK2433,yffI"
eutL,"ECK2434,yffJ"
eutC,ECK2435
eutB,ECK2436
intZ,ECK2437
yffL,ECK2438
yffM,ECK2439
yffN,ECK2440
yffO,ECK2441
yffP,ECK2442
yffQ,ECK2443
yffR,ECK2444
yffS,ECK2445
eutA,"ECK2446,yffT"
eutH,"ECK2447,yffU"
eutG,"ECK2448,yffV"
eutJ,"ECK2449,yffW"
eutE,"ECK2450,yffX"
eutN,"cchB,ECK2451,yffY"
eutM,"cchA,ECK2452,yffZ"
eutD,"ECK2453,eutI,ypfA"
eutT,"ECK2454,ypfB"
eutQ,"ECK2455,ypfC"
eutP,"ECK2456,ypfD"
eutS,"ECK2457,ypfE"
maeB,"ECK2458,ypfF"
talA,ECK2459
tktB,ECK2460
ypfG,ECK2461
nudK,"ECK2462,yffH"
aegA,"ECK2463,yffG"
narQ,ECK2464
acrD,"ECK2465,yffA"
ypfM,ECK4415
yffB,ECK2466
dapE,"ECK2467,msgB"
ypfN,ECK2468
ypfH,ECK2469
tmcA,"ECK2470,ypfI"
ypfJ,ECK2471
purC,"ade,ade(g),ECK2472"
bamC,"dapX,ECK2473,nlpB"
dapA,ECK2474
gcvR,"ECK2475,yffD"
bcp,ECK2476
hyfA,"ECK2477,yffE"
hyfB,"ECK2478,yffF"
hyfC,ECK2479
hyfD,ECK2480
hyfE,ECK2481
hyfF,ECK2482
hyfG,ECK2483
hyfH,ECK2484
hyfI,ECK2485
hyfJ,ECK2486
hyfR,ECK2487
focB,ECK2488
yfgO,"ECK2489,perM"
bepA,"ECK2490,yfgC"
yfgD,ECK2491
hda,"ECK2492,idaB,yfgE"
uraA,ECK2493
upp,"ECK2494,uraP"
purM,"ECK2495,purG,purI"
purN,"ade,ade(c),ECK2496"
ppk,ECK2497
ppx,ECK2498
pdeF,"ECK2499,yfgF"
yfgG,ECK2500
yfgH,ECK2501
yfgI,ECK2502
guaA,ECK2503
guaB,"ECK2504,guaR"
xseA,"ECK2505,xse"
yfgJ,ECK2506
der,"ECK2507,engA,yfgK"
bamB,"ECK2508,yfgL"
yfgM,ECK2509
hisS,ECK2510
sroE,"ECK4618,k20"
ispG,"ECK2511,gcpE"
rodZ,"ECK2512,yfgA"
rlmN,"ECK2513,yfgB"
ndk,ECK2514
pbpC,"ECK2515,yfgN"
yfhM,ECK2516
sseA,"ECK2517,mstA"
ryfA,"ECK2518,PAIR3b,tp1"
sseB,ECK2519
pepB,"ECK2520,yfhI"
iscX,"ECK2521,yfhJ"
fdx,ECK2522
hscA,"ECK2523,hsc"
hscB,"ECK2524,yfhE"
iscA,"ECK2525,yfhF"
iscU,"ECK2526,nifU,yfhN"
iscS,"ECK2527,nuvC,yfhO,yzzO"
iscR,"ECK2528,yfhP"
trmJ,"ECK2529,yfhQ"
suhB,"ECK2530,ssyA"
yfhR,ECK2531
csiE,"csi-16,ECK2532"
hcaT,"ECK2533,yfhS"
hcaR,"ECK2534,phdR,yfhT"
iroK,ECK4518
hcaE,"digA,ECK2535,hcaA,hcaA1,phdC1,yfhU"
hcaF,"digB,ECK2536,hcaA,hcaA2,hcaB,phdC2,yfhV"
hcaC,"ECK2537,hcaa3,phdB,yfhW"
hcaB,"ECK2538,phdD,yfhX"
hcaD,"ECK2539,hcaa4,phdA,yfhY"
yphA,ECK2540
yphB,ECK2541
yphC,ECK2542
yphD,ECK2543
yphE,ECK2544
yphF,ECK2545
yphG,ECK2546
yphH,ECK2547
glyA,ECK2548
hmp,"ECK2549,fsrB,hmpA"
glnB,ECK2550
glrR,"ECK2551,qseF,yfhA"
qseG,"ECK2552,yfhG"
glrK,"ECK2553,qseE,yfhK,yfhZ"
glmY,"ECK2554,sroF,tke1"
purL,"ECK2555,purI"
mltF,"ECK2556,yfhD"
tadA,"ECK2557,yfhC"
pgpC,"ECK2558,yfhB"
yfhH,ECK2559
yfhL,ECK2560
shoB,"b4681,ECK4502,ryfB,yphI"
ohsC,"ECK4417,ryfC"
acpS,"dpj,ECK2561"
pdxJ,ECK2562
recO,ECK2563
era,"ECK2564,rbaA,sdgE"
rnc,"ECK2565,ranA"
lepB,"ECK2566,lep"
lepA,ECK2567
rseC,ECK2568
rseB,ECK2569
rseA,"ECK2570,mclA,yfiJ"
rpoE,"ECK2571,sigE"
rseD,ECK4582
nadB,"ECK2572,nic,nicB"
yfiC,"ECK2573,trmM"
srmB,"ECK2574,rbaB,rhlA"
yfiE,ECK2575
eamB,"ECK2576,yfiK"
grcA,"ECK2577,yfiD"
ung,ECK2578
yfiF,ECK2579
trxC,"ECK2580,yfiG"
tapT,"ECK2581,tuaA,yfiP"
patZ,"ECK2582,pka,yfiQ"
pssL,ECK4639
pssA,"ECK2583,pss"
yfiM,ECK2584
kgtP,"ECK2585,witA"
yfiS,ECK4639
rrfG,ECK2586
rrlG,ECK2587
gltW,ECK2588
rrsG,ECK2589
clpB,"ECK2590,htpM"
ryfD,ECK4418
pgeF,"ECK2591,yfiH"
rluD,"ECK2592,sfhB,yfiI,yfil"
bamD,"ecfD,ECK2593,yfiO"
raiA,"ECK2594,pY,urf1,yfiA"
pheL,"ECK2595,pheAE"
pheA,ECK2596
tyrA,ECK2597
aroF,ECK2598
yfiL,ECK2599
yfiR,ECK2600
dgcN,"ECK2601,yfiN"
yfiB,ECK2602
rplS,ECK2603
trmD,ECK2604
rimM,"ECK2605,yfjA"
rpsP,ECK2606
ffh,ECK2607
ypjD,ECK2608
yfjD,"b2612,b2613,ECK2609,ypjE"
grpE,ECK2610
nadK,"ECK2611,yfjB,yfjE"
recN,"ECK2612,radB"
bamE,"ECK2613,smpA,smqA"
yfjF,"ECK2614,ratB"
ratA,"ECK2615,yfjG"
smpB,"ECK2616,smqB"
ssrA,"ECK2617,sipB"
intA,"ECK2618,intX,slpA"
yfjH,ECK2619
alpA,ECK2620
yfjI,ECK2621
yfjJ,ECK2622
abpB,"ECK2623,yfjK"
abpA,"ECK2624,yfjL"
yfjM,ECK2625
rnlA,"ECK2626,std,yfjN"
rnlB,"ECK2627,yfjO"
yfjP,ECK2628
yfjQ,ECK2629
yfjR,ECK2630
ypjK,ECK2631
yfjS,ECK2632
yfjT,ECK2633
yfjU,ECK2634
yfjV,"b2639,b2640,ECK2635,ECK2636,ECK2637,ypjL,ypjM"
yfjW,ECK2638
ypjI,ECK4438
yfjX,ECK2639
yfjY,ECK2640
ypjJ,ECK2641
yfjZ,ECK2642
ypjF,ECK2643
psaA,ECK4465
ypjA,ECK2644
pinH,"ECK2645,ypjG"
ypjB,ECK2646
ypjC,ECK2647
ileY,ECK2648
ygaQ,"b2654,b2655,b2656,b2657,b2658,ECK2649,G7391,G7392,G7393,ygaR,yqaC,yqaD"
glaH,"csi-12,csiD,ECK2653,ygaT"
lhgD,"ECK2654,lhgO,ygaF"
gabD,ECK2655
gabT,ECK2656
gabP,ECK2657
glaR,"csiR,ECK2658,gabC,ygaE"
kbp,"ECK2659,ygaU,yzzM"
yqaE,ECK2660
ygaV,ECK2661
ygaP,ECK2662
stpA,"ECK2663,hnsB"
alaE,"ECK2664,ygaW"
ygaC,ECK2665
ygaM,ECK2666
nrdH,"ECK2667,ygaN"
nrdI,"ECK2668,ygaO"
nrdE,ECK2669
nrdF,"ECK2670,ygaD"
proV,"ECK2671,osrA,proU"
proW,"ECK2672,osrA,proU"
proX,"ECK2673,osrA,proU"
ygaY,"b2680,ECK2674,ECK2675,ygaX"
ygaZ,ECK2676
ygaH,ECK2677
mprA,"ECK2678,emrR"
emrA,ECK2679
emrB,ECK2680
luxS,"ECK2681,ygaG"
micA,"ECK2682,psrA10,sraD"
gshA,"ECK2683,gsh-I"
yqaA,ECK2684
yqaB,ECK2685
argQ,"argVdelta,ECK2686"
argZ,"argVgamma,ECK2687"
argY,"argVbeta,ECK2688"
argV,"argValpha,ECK2689"
serV,"ECK2690,supD"
csrA,"ECK2691,zfiA"
alaS,"act,ala-act,ECK2692,lovB"
recX,"ECK2693,oraA"
recA,"ECK2694,lexB,recH,rnmB,srf,tif,umuB,zab"
pncC,"ECK2695,ygaD"
mltB,"ECK2696,slt"
srlA,"ECK2697,gutA,sbl,srlA-1"
srlE,"ECK2698,gutA,gutE,sbl,srlA,srlA-2"
srlB,"ECK2699,gutB"
srlD,"ECK2700,gutD"
gutM,"ECK2701,gut,srlM"
srlR,"ECK2702,gutR"
gutQ,"ECK2703,srlQ"
norR,"ECK2704,ygaA"
