,0
yaiP,ECK0360
ykiC,ECK4588
yaiS,ECK0361
tauA,"ECK0362,ssiA,yaiR"
tauB,"ECK0363,ssiB,yaiQ"
tauC,"ECK0364,ssiC,yaiJ"
tauD,"ECK0365,ssiD,yaiG"
hemB,"ECK0366,ncf"
yaiT,"b0371,b0374,ECK0368,ECK0369,yaiU"
ytiB,ECK4624
insF2,"ECK0299,tra5-1"
insE2,ECK0298
iprA,"ECK0370,yaiV"
ampH,"ECK0371,yaiH"
sbmA,ECK0372
yaiW,ECK0373
yaiY,ECK0374
yaiZ,ECK0375
ddlA,ECK0376
iraP,"ECK0377,yaiB"
phoA,"ECK0378,psiA"
psiF,ECK0379
dgcC,"adrA,ECK0380,yaiC"
proC,"ECK0381,pro(3),Pro2,pro3"
yaiI,ECK0382
aroL,ECK0383
yaiA,ECK0384
aroM,ECK0385
ppnP,"ECK0386,yaiE"
ykiA,ECK0387
ykiD,ECK4589
rdgC,"ECK0388,yaiD"
mak,"ECK0389,yajF"
araJ,"araT,ECK0390"
sbcC,ECK0391
sbcD,"ECK0392,yajA"
phoB,"ECK0393,phoRc,phoT"
phoR,"ECK0394,nmpB,phoR1,R1pho"
brnQ,"ECK0395,hrbA"
proY,"ECK0396,yajM"
malZ,ECK0397
acpH,"ECK0398,yajB"
queA,"ECK0399,tsaA"
tgt,"ECK0400,vacC(S.f.)"
yajC,ECK0401
secD,ECK0402
secF,ECK0403
yajD,ECK0404
tsx,"ECK0405,nupA,T6rec"
yajI,ECK0406
nrdR,"ECK0407,ybaD"
ribD,"ECK0408,nusII,ribG,ybaE"
ribE,"ECK0409,nusIII,ribH,ybaF"
nusB,"ECK0410,groNB,ssaD,ssyB"
thiL,"ECK0411,thiJ"
pgpA,"ECK0412,yajN"
yajO,ECK0413
dxs,"ECK0414,yajP"
ispA,ECK0415
xseB,"ECK0416,yajE"
thiI,"ECK0417,nuvA,yajK"
yajL,"ECK0418,thiJ"
panE,"apbA,ECK0419"
yajQ,ECK0420
yajR,ECK0421
cyoE,ECK0422
cyoD,ECK0423
cyoC,ECK0424
cyoB,ECK0425
cyoA,ECK0426
ampG,ECK0427
yajG,ECK0428
bolA,ECK0429
tig,ECK0430
clpP,"ECK0431,lopP"
clpX,"ECK0432,lopC"
lon,"capR,deg,dir,ECK0433,lopA,muc"
hupB,"dbhB,dpeA,ECK0434,hopD"
ppiD,"ECK0435,ybaU"
ybaV,"comEA,ECK0436"
fadM,"ECK0437,tesC,ybaW"
queC,"ECK0438,ybaX"
ybaE,ECK0439
cof,ECK0440
decR,"cyuR,ECK0441,ybaO"
mdlA,"ECK0442,mdl"
mdlB,"ECK0443,mdl"
glnK,"ECK0444,ybaI"
amtB,"ECK0445,ybaG"
tesB,ECK0446
ybaY,ECK0447
ybaZ,"atl,ECK0448"
ffs,ECK0449
ybaA,ECK0450
pdeB,"ECK0451,ylaB"
ylaC,ECK0452
maa,"ECK0453,ylaD"
hha,ECK0454
tomB,"ECK0455,ybaJ"
acrB,"acrE,ECK0456"
acrA,"ECK0457,lir,Mb,mbl,mtcA,nbsA,sipB"
acrR,"ECK0458,ybaH"
mscK,"aefA,ECK0459,kefA"
ybaM,ECK0460
priC,ECK0461
ybaN,ECK0462
apt,ECK0463
dnaX,"dnaZ,ECK0464"
ybaB,ECK0465
recR,ECK0466
htpG,ECK0467
adk,"dnaW,ECK0468,plsA"
hemH,"ECK0469,popA,visA"
aes,"ECK0470,ybaC"
gsk,ECK0471
ybaL,"ECK0472,ylaA"
fsr,ECK0473
ushA,ECK0474
ybaK,ECK0475
chiX,"ECK4396,micM,rybC,sroB"
ybaP,ECK0476
ybaQ,ECK0477
copA,"ECK0478,ybaR"
glsA,"ECK0479,ybaS"
ybaT,ECK0480
cueR,"copR,ECK0481,ybbI"
ybbJ,ECK0482
qmcA,"ECK0483,ybbK"
fetA,"ECK0484,ybbL"
fetB,"ECK0485,ybbM"
cnoX,"ECK0486,ybbN"
ybbO,ECK0487
tesA,"apeA,ECK0488,pldC"
ybbA,ECK0489
ybbP,ECK0490
rhsD,ECK0491
ybbC,ECK0492
ylbH,"ECK0493,rhsH"
ybbD,"b0500,ECK0494"
ylbI,ECK4441
ylbG,ECK0495
selU,"ECK0496,mnmH,ybbB"
allS,"ECK0497,glxA1,ybbS"
allA,"ECK0498,glxA2,ybbT"
allR,"ECK0499,glxA3,ybbU"
gcl,ECK0500
hyi,"ECK0501,gip,ybbG"
glxR,"ECK0502,glxB1,ybbQ"
ybbW,"allP,ECK0504,glxB2"
allB,"ECK0505,glxB3,ybbX"
ybbY,"ECK0506,glxB4"
glxK,"ECK0507,glxB5,ybbZ"
allE,"ECK0508,glxB6,ughY,ylbA"
allC,"ECK0509,glxB7,ylbB"
allD,"ECK0510,glxB8,ylbC"
fdrA,"ECK0511,ylbD"
ylbE,"b0519,b4507,ECK0512,G0-10554"
ylbF,ECK0513
ybcF,ECK0514
purK,"ECK0515,purE2"
purE,"ade,ade(f),ade3,ECK0516,Pur2"
lpxH,"ECK0517,ybbF"
ppiB,ECK0518
cysS,"ECK0519,syc"
ybcI,ECK0520
ybcJ,ECK0521
folD,"ads,ECK0522"
sfmA,ECK0523
sfmC,ECK0524
sfmD,ECK0525
sfmH,ECK0526
sfmF,"ECK0527,ybcG"
fimZ,"ECK0528,ybcA"
argU,"dnaY,ECK0529,pin"
intD,"ECK0530,int"
xisD,"ECK4435,ybcB"
exoD,"ECK0531,ybcC"
peaD,"ECK0532,ybcD"
renD,"ECK0533,ybcE"
insE3,ECK0298
insF3,"ECK0299,tra5-2"
emrE,"eb,ECK0534,mvrC"
ylcJ,ECK4590
ybcK,ECK0535
ybcL,ECK0536
ybcM,ECK0537
ylcH,ECK4398
ybcN,ECK0538
ninE,ECK0539
ybcO,ECK0540
rusA,"ECK0541,rus,ybcP"
ylcG,ECK0542
quuD,"ECK0543,ybcQ"
nmpC,"ECK0544,phmA"
insH2,"ECK0261,trs5-2,yi52_2"
essD,"ECK0545,vlyS,ybcR"
rrrD,"ECK0546,lycV,ybcS"
rzpD,"ECK0547,ybcT"
rzoD,ECK0548
borD,"bor,ECK0549,iss,vboR,ybcU"
ybcV,ECK0550
ybcW,ECK0551
ylcI,ECK4399
nohD,"ECK0552,nohB"
aaaD,"ECK4439,ylcF"
tfaD,"ECK0553,ybcX"
ybcY,ECK0554
tfaX,"ECK0555,ylcE"
appY,ECK0556
ompT,ECK0557
envY,ECK0558
ybcH,ECK0559
nfrA,ECK0560
nfrB,ECK0561
cusS,"ECK0562,ybcZ"
cusR,"ECK0563,ylcA"
cusC,"ECK0564,ibeB,ylcB"
cusF,"cusX,ECK0565,ylcC"
cusB,"ECK0566,ylcD"
