,gene,biotype,synonym
1697,folM,protein_coding,"ECK1601,ydgB"
1698,ydgC,protein_coding,ECK1602
1699,rstA,protein_coding,"ECK1603,urpT"
1700,rstB,protein_coding,"ECK1604,uspT"
1701,tus,protein_coding,"ECK1605,tau"
1702,fumC,protein_coding,ECK1606
1703,fumA,protein_coding,ECK1607
1704,manA,protein_coding,"ECK1608,pmi"
1705,ydgA,protein_coding,ECK1609
1706,uidC,protein_coding,"ECK1610,gusC"
1707,uidB,protein_coding,"ECK1611,gusB,uidP"
1708,uidA,protein_coding,"ECK1612,gurA,gusA"
1709,uidR,protein_coding,"ECK1613,gusR"
1710,hdhA,protein_coding,"ECK1614,hsd,hsdH"
1711,malI,protein_coding,ECK1615
1712,malX,protein_coding,ECK1616
1713,malY,protein_coding,ECK1617
1714,add,protein_coding,ECK1618
1715,ydgJ,protein_coding,ECK1619
1716,blr,protein_coding,ECK1620
1717,cnu,protein_coding,"ECK1621,ydgT"
1718,ydgK,protein_coding,"ECK1622,rsxP"
1719,rsxA,protein_coding,"ECK1623,ydgL"
1720,rsxB,protein_coding,"ECK1624,ydgM"
1721,rsxC,protein_coding,"ECK1625,ydgN"
1722,rsxD,protein_coding,"ECK1626,ydgO"
1723,rsxG,protein_coding,"ECK1627,ydgP"
1724,rsxE,protein_coding,"ECK1628,ydgQ"
1725,nth,protein_coding,ECK1629
1726,dtpA,protein_coding,"ECK1630,tppB,ydgR"
1727,gstA,protein_coding,"ECK1631,gst"
1728,pdxY,protein_coding,"ECK1632,ydgS"
1729,tyrS,protein_coding,ECK1633
1730,pdxH,protein_coding,ECK1634
1731,mliC,protein_coding,"ECK1635,ydhA"
1732,anmK,protein_coding,"ECK1636,ydhH"
1733,slyB,protein_coding,ECK1637
1734,slyA,protein_coding,ECK1638
1735,ydhI,protein_coding,ECK1639
1736,ydhJ,protein_coding,ECK1640
1737,ydhK,protein_coding,ECK1641
1738,sodC,protein_coding,ECK1642
1739,ydhF,protein_coding,ECK1643
1740,ydhL,protein_coding,ECK1644
1741,nemR,protein_coding,"ECK1645,ydhM"
1742,nemA,protein_coding,"ECK1646,ydhN"
1743,gloA,protein_coding,ECK1647
1744,rnt,protein_coding,ECK1648
